Plot_Idnum,Old_plot_num,Year,Rep,Treatment,Treatment_st,Fert,Fert_st,Tillage,Tillage_st,Yield_bu_ac,Yield_kg_ha,Crop,Rotation,Height_in,Lodging_pct,Pop1_30DAP_no_ac,Pop2_EOS_no_ac,Moisture_pct,Ears_no_ac,Barren_pct,Sampled_ear_bean_weight_g
101,101_1,1970,1,1,CT_ctrl,1,Control,1,Conv,55.4,3477.3,Corn,CC,96,6.5,,27000,,,12.9,99.8
102,102_1,1970,1,2,CT_N,2,N_only,1,Conv,95.5,5994.3,Corn,CC,109,9.3,,32600,,,13.3,117.9
103,103_1,1970,1,3,CT_NwNPK,3,NplusNPKst,1,Conv,104.7,6571.8,Corn,CC,108,7.6,,28800,,,9.1,136.1
104,104_1,1970,1,4,CT_NPK,4,NPK,1,Conv,101.2,6352.1,Corn,CC,115,13.6,,25700,,,3.4,145.1
105,105_1,1970,1,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,125,7845.9,Corn,CC,118,9.7,,31400,,,8.3,149.7
106,101_2,1970,1,6,AT_ctrl,1,Control,2,Alt,31.5,1977.2,Corn,CC,94,7,,24800,,,17.5,68
107,102_2,1970,1,7,AT_N,2,N_only,2,Alt,93.9,5893.9,Corn,CC,94,4.9,,26500,,,8.2,140.6
108,103_2,1970,1,8,AT_NwNPK,3,NplusNPKst,2,Alt,69.3,4349.8,Corn,CC,102,3,,28800,,,16.7,117.9
109,104_2,1970,1,9,AT_NPK,4,NPK,2,Alt,105.1,6596.9,Corn,CC,108,4.3,,30100,,,10.1,145.1
110,105_2,1970,1,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,71.6,4494.2,Corn,CC,103,6,,29200,,,11.9,99.8
111,101_3,1970,1,11,RT_ctrl,1,Control,3,Chisel,55.9,3508.7,Corn,CC,98,12.1,,28800,,,6.1,90.7
112,102_3,1970,1,12,RT_N,2,N_only,3,Chisel,86.3,5416.8,Corn,CC,107,4.4,,29600,,,10.3,117.9
113,103_3,1970,1,13,RT_NwNPK,3,NplusNPKst,3,Chisel,102.1,6408.6,Corn,CC,108,10.1,,30100,,,10.1,136.1
114,104_3,1970,1,14,RT_NPK,4,NPK,3,Chisel,106.6,6691,Corn,CC,108,13.2,,29600,,,8.8,149.7
115,105_3,1970,1,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,101.9,6396,Corn,CC,108,10.8,,28300,,,7.7,131.5
116,101_4,1970,1,16,NT_ctrl,1,Control,4,No_till,35.4,2222,Corn,CC,103,8.7,,30100,,,15.9,59
117,102_4,1970,1,17,NT_N,2,N_only,4,No_till,79.3,4977.5,Corn,CC,112,11.6,,30100,,,5.8,117.9
118,103_4,1970,1,18,NT_NwNPK,3,NplusNPKst,4,No_till,87.6,5498.4,Corn,CC,115,17.1,,30500,,,8.6,113.4
119,104_4,1970,1,19,NT_NPK,4,NPK,4,No_till,80.9,5077.9,Corn,CC,109,8.5,,30900,,,16.9,122.4
120,105_4,1970,1,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,86.3,5416.8,Corn,CC,104,2.4,,18300,,,7.1,195
201,201_1,1970,2,1,CT_ctrl,1,Control,1,Conv,90.8,5699.3,Corn,CC,104,14.8,,26600,,,3.3,136.1
202,202_1,1970,2,2,CT_N,2,N_only,1,Conv,85.7,5379.2,Corn,CC,105,10.5,,24800,,,3.5,131.5
203,203_1,1970,2,3,CT_NwNPK,3,NplusNPKst,1,Conv,115.8,7268.5,Corn,CC,110,15.5,,30900,,,7,154.2
204,204_1,1970,2,4,CT_NPK,4,NPK,1,Conv,101,6339.5,Corn,CC,107,6.8,,25700,,,1.7,140.6
205,205_1,1970,2,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,111.6,7004.9,Corn,CC,114,6.7,,26100,,,0,158.7
206,201_2,1970,2,6,AT_ctrl,1,Control,2,Alt,30.4,1908.1,Corn,CC,96,0,,31800,,,16.4,54.4
207,202_2,1970,2,7,AT_N,2,N_only,2,Alt,79.9,5015.1,Corn,CC,111,10.5,,33100,,,11.8,117.9
208,203_2,1970,2,8,AT_NwNPK,3,NplusNPKst,2,Alt,99.9,6270.5,Corn,CC,118,5.9,,29600,,,5.9,127
209,204_2,1970,2,9,AT_NPK,4,NPK,2,Alt,98.4,6176.3,Corn,CC,109,7.9,,33100,,,9.2,122.4
210,205_2,1970,2,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,80.8,5071.6,Corn,CC,117,6.8,,31800,,,13.7,108.8
211,201_3,1970,2,11,RT_ctrl,1,Control,3,Chisel,50.7,3182.3,Corn,CC,103,10.5,,24800,,,8.8,77.1
212,202_3,1970,2,12,RT_N,2,N_only,3,Chisel,126.5,7940.1,Corn,CC,111,7.7,,28300,,,1.5,167.8
213,203_3,1970,2,13,RT_NwNPK,3,NplusNPKst,3,Chisel,70.3,4412.6,Corn,CC,109,7,,24800,,,5.3,117.9
